title,author,category,event_type,time,link,location,sub_category
A Game Theoretic Approach to Class-wise Selective Rationalization,Shiyu Chang · Yang Zhang · Mo Yu · Tommi Jaakkola,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
A Little Is Enough: Circumventing Defenses For Distributed Learning,Gilad Baruch · Moran Baruch · Yoav Goldberg,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
A New Defense Against Adversarial Images: Turning a Weakness into a Strength,Shengyuan Hu · Tao Yu · Chuan Guo · Wei-Lun Chao · Kilian Weinberger,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
Tight Certificates of Adversarial Robustness for Randomly Smoothed Classifiers,Guang-He Lee · Yang Yuan · Shiyu Chang · Tommi Jaakkola,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
Adversarial training for free!,Ali Shafahi · Mahyar Najibi · Mohammad Amin Ghiasi · Zheng Xu · John Dickerson · Christoph Studer · Larry Davis · Gavin Taylor · Tom Goldstein,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
Certifiable Robustness to Graph Perturbations,Aleksandar Bojchevski · Stephan Günnemann,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
Certified Adversarial Robustness with Additive Noise,Bai Li · Changyou Chen · Wenlin Wang · Lawrence Carin,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
Defense Against Adversarial Attacks Using Feature Scattering-based Adversarial Training,Haichao Zhang · Jianyu Wang,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
Efficient online learning with kernels for adversarial large scale problems,Rémi Jézéquel · Pierre Gaillard · Alessandro Rudi,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
Empirically Measuring Concentration: Fundamental Limits on Intrinsic Robustness,Saeed Mahloujifar · Xiao Zhang · Mohammad Mahmoody · David Evans,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
Error Correcting Output Codes Improve Probability Estimation and Adversarial Robustness of Deep Neural Networks,Gunjan Verma · Ananthram Swami,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
Learning from Bad Data via Generation,Tianyu Guo · Chang Xu · Boxin Shi · Chao Xu · Dacheng Tao,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
Multi-marginal Wasserstein GAN,Jiezhang Cao · Langyuan Mo · Yifan Zhang · Kui Jia · Chunhua Shen · Mingkui Tan,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
ResNets Ensemble via the Feynman-Kac Formalism to Improve Natural and Robust Accuracies,Bao Wang · Zuoqiang  Shi · Stanley Osher,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
Subspace Attack: Exploiting Promising Subspaces for Query-Efficient Black-box Attacks,Yiwen Guo · Ziang Yan · Changshui Zhang,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
ZO-AdaMM: Zeroth-Order Adaptive Momentum Method for Black-Box Optimization,Xiangyi Chen · Sijia Liu · Kaidi Xu · Xingguo Li · Xue Lin · Mingyi Hong · David Cox,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15493,East Exhibition Hall B + C,Adversarial Learning
Blocking Bandits,Soumya Basu · Rajat Sen · Sujay Sanghavi · Sanjay Shakkottai,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15494,East Exhibition Hall B + C,Bandit Algorithms
Combinatorial Bandits with Relative Feedback ,Aadirupa Saha · Aditya Gopalan,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15494,East Exhibition Hall B + C,Bandit Algorithms
Decentralized Cooperative Stochastic Bandits,David Martínez-Rubio · Varun Kanade · Patrick Rebeschini,Algorithms,Poster,Tue Dec 10th 10:45 AM -- 12:45 PM,https://nips.cc/Conferences/2019/Schedule?showParentSession=15494,East Exhibition Hall B + C,Bandit Algorithms
